变量名,数据类型,PLC地址,读写属性,断电保持,注释,画面编号
VD_CycleSetpoint,REAL,VD354,RW,是,"换水周期设定值(min;原VD20,AQEX-36迁移)",4
VD_ExperimentTarget,REAL,VD24,RW,是,"实验时长目标设定值(min)",4
VD_PreMixTime,REAL,VD28,RW,是,"潜水泵预循环标称时长S2(s)",4
VD_PreMixTime_MinSafe,REAL,VD32,RW,是,"S2压缩下限(纠偏第1层最低安全值)(s)",4
VD_RestTime,REAL,VD36,RW,是,"静止等候标称时长S3.5(s)",4
VD_RestTime_Min,REAL,VD40,RW,是,"静止等候压缩下限(纠偏第0层最低值)(s)",4
VD_CycleExtend_Max,REAL,VD44,RW,是,"换水周期顺延最大允许幅度(纠偏第2层上限)(min)",4
VD_Timeout_ValveA,REAL,VD358,RW,是,"阀A动作超时保护时长(s;原VD48,AQEX-36迁移)",4
VD_Timeout_ValveB,REAL,VD362,RW,是,"阀B动作超时保护时长(s;原VD50,AQEX-36迁移)",4
VD_Timeout_ValveC,REAL,VD54,RW,是,"阀C动作超时保护时长(s)",4
VD_Timeout_Pump1,REAL,VD58,RW,是,"潜水泵1动作超时保护时长(s)",4
VD_Timeout_Pump2,REAL,VD62,RW,是,"潜水泵2动作超时保护时长(s)",4
VD_Delay_ValveA_Verify,REAL,VD66,RW,是,"阀A关闭后延时验证时长(s)",4
VD_S1_Actual,REAL,VD70,R,是,"S1上缸进水实测时长(阀A关闭且验证通过后记录)(s)",2
VD_S4_Actual,REAL,VD74,R,是,"S4上→下转移实测时长(s)",2
VD_S6_Actual,REAL,VD78,R,是,"S6下缸排水实测时长(单次,用于更新VD_S6_Rolling)(s)",2
VD_FlowMeter_Snapshot,DWORD,VD82,R,是,"阀A开启瞬间流量计计量值快照(差值法基准)",7
VD_FlowMeter_Current,DWORD,VD86,R,是,"流量计当前计量值(累计,无清零,差值法)(轮询读取)",7
VD_Current_InletVolume,REAL,VD90,R,是,"本次进水量(=VD86-VD82)(L)",2
VD_FlowRate_Instant,REAL,VD94,R,是,"瞬时流速(映射自Modbus 0x0017,仅监测)(L/min)",2
VD_ExperimentDuration_Accum,REAL,VD366,R,是,"实验时长累加值(仅下缸=满期间累加)(min;原VD96,AQEX-36迁移)",1
VD_Vol_Target,REAL,VD370,R,是,"本轮目标抽取母液体积(=VD_C_Set×进水量/VD_C_Stock)(µL;原VD98,AQEX-36迁移)",2
VD_Dose_Steps,REAL,VD102,R,是,"本轮加药目标步数(=VD_Vol_Target/VD_StepResolution,写入40006/40007)(步)",2
VD_T_Default,REAL,VD104,R,是,"T初始默认值(首轮无历史数据时使用)(s)",6
VD_S6_Default,REAL,VD108,R,是,"S6排水时长初始默认值(首轮使用)(s)",6
VD_T_Rolling,REAL,VD112,R,是,"滚动实测的S1-S3+静止等候总时长T(s)",6
VD_S6_Rolling,REAL,VD116,R,是,"滚动实测的S6排水时长(s)",6
VD_S2_Target,REAL,VD120,R,是,"本轮S2实际执行目标时长(预规划/二次校正后)(s)",2
VD_RestTime_Target,REAL,VD124,R,是,"本轮S3.5实际执行目标时长(预规划/二次校正后)(s)",2
VD_CycleExtend_Target,REAL,VD128,R,是,"本轮预规划允许下缸空等时长(0=无需空等)(min)",2
VD_PumpSpeed_Start,REAL,VD132,RW,是,"注射泵启动速度(写入Modbus 40009,映射待确认)(Hz)",4
VD_PumpSpeed_Max,REAL,VD136,RW,是,"注射泵最高速度(写入Modbus 40010,映射待确认)(Hz)",4
VD_PumpSpeed_Cutoff,REAL,VD140,RW,是,"注射泵截止速度(写入Modbus 40011,映射待确认)(Hz)",4
M_Alarm_Overflow_AHigh,BOOL,V300.0,R,是,"上缸漫溢(液位计A-高位触发,漫溢级)",5
M_Alarm_Overflow_BHigh,BOOL,V300.1,R,是,"下缸漫溢(液位计B-高位触发,漫溢级)",5
M_Alarm_NCValve_Top,BOOL,V300.2,R,是,"NC电磁阀-上缸动作(阀A失效保护触发,漫溢级)",5
M_Alarm_NCValve_Bottom,BOOL,V300.3,R,是,"NC电磁阀-下缸动作(阀B/液位计B报警触发,漫溢级)",5
M_EStop_Latch,BOOL,V300.4,R,是,"急停触发锁存(I1.1=OFF,漫溢级)",5
M_Alarm_SafetyRelay,BOOL,V300.5,R,是,"安全继电器/接触器故障(最高级,I1.2反馈异常)",5
M_Alarm_ScheduleLag,BOOL,V300.6,R,是,"配液节奏严重滞后(三层纠偏用尽,节奏级)",5
M_Alarm_ScheduleLag_Warn,BOOL,V300.7,R,是,"配液节奏滞后提示(第2层顺延触发,一般级)",5
M_Alarm_ValveA_CloseFlow,BOOL,V301.0,R,是,"阀A关后延时验证仍有流(流量开关A=ON)",5
M_Alarm_ValveA_Leak,BOOL,V301.1,R,是,"阀A已关但流量计计量值仍增长(内漏)",5
M_Alarm_ValveA_CloseTimeout,BOOL,V301.2,R,是,"阀A关到位反馈(I1.4)超时",5
M_Alarm_ValveA_CloseLeak,BOOL,V301.3,R,是,"阀A关到位但仍有流(内漏)",5
M_Alarm_ValveA_OpenTimeout,BOOL,V301.4,R,是,"阀A开到位反馈(I1.3)超时",5
M_Alarm_ValveA_OpenNoFlow,BOOL,V301.5,R,是,"阀A开到位但无流(上游缺水/堵塞)",5
M_Alarm_ValveA_S1Start,BOOL,V301.6,R,是,"S5触发新一轮S1时上缸状态≠空",5
M_Alarm_Reserved_V301_7,BOOL,V301.7,R,是,"(预留扩展位)",5
M_Alarm_ValveB_Diag,BOOL,V302.0,R,是,"阀B四态诊断异常(流量开关B=OFF且液位计A-低位=OFF)",5
M_Alarm_ValveB_OpenTimeout,BOOL,V302.1,R,是,"阀B开到位反馈(I1.5)超时",5
M_Alarm_ValveB_OpenNoFlow,BOOL,V302.2,R,是,"阀B开到位但无流",5
M_Alarm_ValveB_CloseTimeout,BOOL,V302.3,R,是,"阀B关到位反馈(I1.6)超时",5
M_Alarm_ValveB_CloseLeak,BOOL,V302.4,R,是,"阀B关到位但仍有流(内漏)",5
M_Alarm_ValveC_Diag,BOOL,V302.5,R,是,"阀C四态诊断异常",5
M_Alarm_ValveC_OpenTimeout,BOOL,V302.6,R,是,"阀C开到位反馈(I1.7)超时",5
M_Alarm_ValveC_OpenNoFlow,BOOL,V302.7,R,是,"阀C开到位但无流",5
M_Alarm_ValveC_CloseTimeout,BOOL,V303.0,R,是,"阀C关到位反馈(I2.0)超时",5
M_Alarm_ValveC_CloseLeak,BOOL,V303.1,R,是,"阀C关到位但仍有流(内漏)",5
M_Alarm_Pump1_Abnormal,BOOL,V303.2,R,是,"潜水泵1启动后超时无流",5
M_Alarm_Pump2_Abnormal,BOOL,V303.3,R,是,"潜水泵2启动后超时无流",5
M_Alarm_SyringePump,BOOL,V303.4,R,是,"注射泵通讯/动作异常(状态码报错或无响应)",5
M_Alarm_RTC_Lost,BOOL,V303.5,R,是,"RTC时钟丢失(开机时间早于DT_TankB_FullTime)",5
M_Alarm_FlowSwitch_Instant,BOOL,V303.6,R,是,"流量开关瞬时异常",5
M_Alarm_Reserved_V303_7,BOOL,V303.7,R,是,"(预留扩展位)",5
M_InitDone,BOOL,V304.0,R,是,"初始化完成标志(Story1.7新增,开机初始化完成置位)",7
M_AlarmAckMode,BOOL,V200.0,RW,是,"报警确认模式(0=自动恢复,1=人工确认;漫溢/节奏滞后/继电器故障不受此模式影响)",4
DT_TankB_FullTime,DT,DT10,R,是,"下缸变满时刻时间戳(阀B正常关闭完成后写入,用于换水周期计算与断电恢复重算)",2
