组态设备名称:设备7
驱动库文件路径:d:\program files\mcgspro\program\drivers\plc\西门子\smart200\smart200_ex.ui
驱动构件名称:西门子_S7_Smart200_以太网
驱动构件版本:7.001
通道号,变量名,变量类型,通道名称,读写类型,寄存器名称,数据类型,寄存器地址,地址偏移,通道采集频次,通道处理
34,U8_VD_S6_Actual,SINGLE,只读VDF078,只读,V数据寄存器,32位 浮点数,78,,1,
35,U8_VD_FlowMeter_Snapshot,SINGLE,只读VDF082,只读,V数据寄存器,32位 浮点数,82,,1,
36,U8_VD_FlowMeter_Current,SINGLE,只读VDF086,只读,V数据寄存器,32位 浮点数,86,,1,
37,U8_VD_Current_InletVolume,SINGLE,只读VDF090,只读,V数据寄存器,32位 浮点数,90,,1,
38,U8_VD_FlowRate_Instant,SINGLE,只读VDF094,只读,V数据寄存器,32位 浮点数,94,,1,
39,U8_VD_Dose_Steps,SINGLE,只读VDF102,只读,V数据寄存器,32位 浮点数,102,,1,
40,U8_VD_T_Rolling,SINGLE,读写VDF112,读写,V数据寄存器,32位 浮点数,112,,1,
41,U8_VD_S6_Rolling,SINGLE,读写VDF116,读写,V数据寄存器,32位 浮点数,116,,1,
42,U8_VD_S2_Target,SINGLE,读写VDF120,读写,V数据寄存器,32位 浮点数,120,,1,
43,U8_VD_RestTime_Target,SINGLE,读写VDF124,读写,V数据寄存器,32位 浮点数,124,,1,
44,U8_VD_PumpSpeed_Start,SINGLE,读写VDF132,读写,V数据寄存器,32位 浮点数,132,,1,
45,U8_VD_PumpSpeed_Max,SINGLE,读写VDF136,读写,V数据寄存器,32位 浮点数,136,,1,
46,U8_VD_PumpSpeed_Cutoff,SINGLE,读写VDF140,读写,V数据寄存器,32位 浮点数,140,,1,
47,U8_VD_Available,SINGLE,只读VDF150,只读,V数据寄存器,32位 浮点数,150,,1,
48,U8_VD_Corr_Needed,SINGLE,只读VDF154,只读,V数据寄存器,32位 浮点数,154,,1,
49,U8_VD_S3_Estimate,SINGLE,读写VDF174,读写,V数据寄存器,32位 浮点数,174,,1,
50,U8_VD_S5_Elapsed,SINGLE,只读VDF178,只读,V数据寄存器,32位 浮点数,178,,1,
51,U8_VW_Corr_Mode,SINGLE,读写VWB182,读写,V数据寄存器,16位 有符号二进制,182,,1,
52,U8_VW_Corr_Result,SINGLE,读写VWB184,读写,V数据寄存器,16位 有符号二进制,184,,1,
53,U8_VD_FlowMeter_CloseSnapshot,SINGLE,只读VDF308,只读,V数据寄存器,32位 浮点数,308,,1,
54,U8_VD_LeakDiff,SINGLE,只读VDF312,只读,V数据寄存器,32位 浮点数,312,,1,
55,U8_VD_TargetInletVolume,SINGLE,只读VDF316,只读,V数据寄存器,32位 浮点数,316,,1,
56,U8_VD_Timeout_ValveC_x10,SINGLE,只读VDF328,只读,V数据寄存器,32位 浮点数,328,,1,
57,U8_VD_StepResolution,SINGLE,读写VDF350,读写,V数据寄存器,32位 浮点数,350,,1,
58,U8_VD_CycleSetpoint,SINGLE,读写VDF354,读写,V数据寄存器,32位 浮点数,354,,1,
59,U8_VD_Timeout_ValveA,SINGLE,读写VDF358,读写,V数据寄存器,32位 浮点数,358,,1,
60,U8_VD_Timeout_ValveB,SINGLE,读写VDF362,读写,V数据寄存器,32位 浮点数,362,,1,
61,U8_VD_ExperimentDuration_Accum,SINGLE,只读VDF366,只读,V数据寄存器,32位 浮点数,366,,1,
62,U8_VD_Vol_Target,SINGLE,只读VDF370,只读,V数据寄存器,32位 浮点数,370,,1,
63,U8_VB300_AlarmByte0,SINGLE,只读VBB300,只读,V数据寄存器,8位 无符号,300,,1,
64,U8_VB301_AlarmByte1,SINGLE,只读VBB301,只读,V数据寄存器,8位 无符号,301,,1,
65,U8_VB302_AlarmByte2,SINGLE,只读VBB302,只读,V数据寄存器,8位 无符号,302,,1,
66,U8_VB303_AlarmByte3,SINGLE,只读VBB303,只读,V数据寄存器,8位 无符号,303,,1,
67,U8_CMD_Manual_ValveA_Open,INTEGER,读写V002.4,读写,V数据寄存器,通道的第04位,2,,1,
68,U8_CMD_Manual_ValveA_Close,INTEGER,读写V002.5,读写,V数据寄存器,通道的第05位,2,,1,
69,U8_CMD_Manual_ValveB_Open,INTEGER,读写V002.6,读写,V数据寄存器,通道的第06位,2,,1,
70,U8_CMD_Manual_ValveB_Close,INTEGER,读写V002.7,读写,V数据寄存器,通道的第07位,2,,1,
71,U8_CMD_Manual_ValveC_Open,INTEGER,读写V003.0,读写,V数据寄存器,通道的第00位,3,,1,
72,U8_CMD_Manual_ValveC_Close,INTEGER,读写V003.1,读写,V数据寄存器,通道的第01位,3,,1,
73,U8_CMD_Manual_Pump1_On,INTEGER,读写V003.2,读写,V数据寄存器,通道的第02位,3,,1,
74,U8_CMD_Manual_Pump1_Off,INTEGER,读写V003.3,读写,V数据寄存器,通道的第03位,3,,1,
75,U8_CMD_Manual_Pump2_On,INTEGER,读写V003.4,读写,V数据寄存器,通道的第04位,3,,1,
76,U8_CMD_Manual_Pump2_Off,INTEGER,读写V003.5,读写,V数据寄存器,通道的第05位,3,,1,
77,U8_MB_Pump_Reset,SINGLE,读写VWB202,读写,V数据寄存器,16位 有符号二进制,202,,1,
78,U8_MB_Pump_Aspirate,SINGLE,读写VWB204,读写,V数据寄存器,16位 有符号二进制,204,,1,
79,U8_MB_Pump_Dispense,SINGLE,读写VWB206,读写,V数据寄存器,16位 有符号二进制,206,,1,
80,U8_MB_Pump_SpeedStart,SINGLE,读写VWB208,读写,V数据寄存器,16位 有符号二进制,208,,1,
81,U8_MB_Pump_SpeedMax,SINGLE,读写VWB210,读写,V数据寄存器,16位 有符号二进制,210,,1,
82,U8_MB_Pump_SpeedCutoff,SINGLE,读写VWB212,读写,V数据寄存器,16位 有符号二进制,212,,1,
83,U8_MB_Pump_Position,SINGLE,只读VWB222,只读,V数据寄存器,16位 有符号二进制,222,,1,
84,U8_M_AlarmAckMode,INTEGER,读写V200.0,读写,V数据寄存器,通道的第00位,200,,1,
85,U8_M_InitDone,INTEGER,只读V304.0,只读,V数据寄存器,通道的第00位,304,,1,
