变量名,数据类型,连接名,PLC地址,读写属性,断电保持,注释,画面编号
U1_VD_PumpSpeed_Max,Float,PLC_01,VD136,RW,是,注射泵最高速度(Hz),4
U1_VD_PumpSpeed_Cutoff,Float,PLC_01,VD140,RW,是,注射泵截止速度(Hz),4
U1_V300_0_Alarm_Overflow_AHigh,Bool,PLC_01,V300.0,R,是,上缸漫溢,5
U1_V300_1_Alarm_Overflow_BHigh,Bool,PLC_01,V300.1,R,是,下缸漫溢,5
U1_V300_2_Alarm_NCValve_Top,Bool,PLC_01,V300.2,R,是,NC球阀-上缸动作,5
U1_V300_3_Alarm_NCValve_Bottom,Bool,PLC_01,V300.3,R,是,NC球阀-下缸动作,5
U1_V300_4_EStop_Latch,Bool,PLC_01,V300.4,R,是,急停触发锁存,5
U1_V300_5_Alarm_SafetyRelay,Bool,PLC_01,V300.5,R,是,安全继电器故障(最高级),5
U1_V300_6_Alarm_ScheduleLag,Bool,PLC_01,V300.6,R,是,配液节奏严重滞后,5
U1_V300_7_Alarm_ScheduleLag_Warn,Bool,PLC_01,V300.7,R,是,配液节奏滞后提示,5
U1_V301_0_Alarm_ValveA_CloseFlow,Bool,PLC_01,V301.0,R,是,阀A关后仍有流,5
U1_V301_1_Alarm_ValveA_Leak,Bool,PLC_01,V301.1,R,是,阀A内漏,5
U1_V301_2_Alarm_ValveA_CloseTimeout,Bool,PLC_01,V301.2,R,是,阀A关超时,5
U1_V301_3_Alarm_ValveA_CloseLeak,Bool,PLC_01,V301.3,R,是,阀A关到位有流,5
U1_V301_4_Alarm_ValveA_OpenTimeout,Bool,PLC_01,V301.4,R,是,阀A开超时,5
U1_V301_5_Alarm_ValveA_OpenNoFlow,Bool,PLC_01,V301.5,R,是,阀A开到位无流,5
U1_V301_6_Alarm_ValveA_S1Start,Bool,PLC_01,V301.6,R,是,S5触发新一轮S1上缸非空,5
U1_V302_0_Alarm_ValveB_Diag,Bool,PLC_01,V302.0,R,是,阀B四态诊断异常,5
U1_V302_1_Alarm_ValveB_OpenTimeout,Bool,PLC_01,V302.1,R,是,阀B开超时,5
U1_V302_2_Alarm_ValveB_OpenNoFlow,Bool,PLC_01,V302.2,R,是,阀B开到位无流,5
U1_V302_3_Alarm_ValveB_CloseTimeout,Bool,PLC_01,V302.3,R,是,阀B关超时,5
U1_V302_4_Alarm_ValveB_CloseLeak,Bool,PLC_01,V302.4,R,是,阀B关到位有流,5
U1_V302_5_Alarm_ValveC_Diag,Bool,PLC_01,V302.5,R,是,阀C四态诊断异常,5
U1_V302_6_Alarm_ValveC_OpenTimeout,Bool,PLC_01,V302.6,R,是,阀C开超时,5
U1_V302_7_Alarm_ValveC_OpenNoFlow,Bool,PLC_01,V302.7,R,是,阀C开到位无流,5
U1_V303_0_Alarm_ValveC_CloseTimeout,Bool,PLC_01,V303.0,R,是,阀C关超时,5
U1_V303_1_Alarm_ValveC_CloseLeak,Bool,PLC_01,V303.1,R,是,阀C关到位有流,5
U1_V303_4_Alarm_SyringePump,Bool,PLC_01,V303.4,R,是,注射泵通讯/动作异常,5
U1_V303_5_Alarm_RTC_Lost,Bool,PLC_01,V303.5,R,是,RTC时钟丢失,5
U1_V303_6_Alarm_FlowSwitch_Instant,Bool,PLC_01,V303.6,R,是,流量开关瞬时异常,5
U1_CMD_Manual_ValveA_Open,Bool,PLC_01,V2.4,RW,是,手动开阀A,3
U1_CMD_Manual_ValveA_Close,Bool,PLC_01,V2.5,RW,是,手动关阀A,3
U1_CMD_Manual_ValveB_Open,Bool,PLC_01,V2.6,RW,是,手动开阀B,3
U1_CMD_Manual_ValveB_Close,Bool,PLC_01,V2.7,RW,是,手动关阀B,3
U1_CMD_Manual_ValveC_Open,Bool,PLC_01,V3.0,RW,是,手动开阀C,3
U1_CMD_Manual_ValveC_Close,Bool,PLC_01,V3.1,RW,是,手动关阀C,3
U1_CMD_Manual_Pump1_On,Bool,PLC_01,V3.2,RW,是,手动启动泵1,3
U1_CMD_Manual_Pump1_Off,Bool,PLC_01,V3.3,RW,是,手动停止泵1,3
U2_CMD_Start,Bool,PLC_02,V0.0,RW,是,启动实验(从S0进入S1),3
U2_CMD_Pause,Bool,PLC_02,V0.1,RW,是,暂停实验(预留),3
U2_CMD_Stop,Bool,PLC_02,V0.2,RW,是,停止实验(进入S7),3
U2_CMD_AckAlarm,Bool,PLC_02,V0.3,RW,是,报警确认,5
U2_CMD_Mute,Bool,PLC_02,V0.4,RW,是,消音命令,5
U2_CMD_ForceTankA_Empty,Bool,PLC_02,V0.5,RW,是,强制上缸状态=空,3
U2_CMD_ForceTankA_Full,Bool,PLC_02,V0.6,RW,是,强制上缸状态=满,3
U2_CMD_SafetyRelayAck,Bool,PLC_02,V0.7,RW,是,继电器故障HMI确认,5
U2_STA_StartAck,Bool,PLC_02,V1.0,R,是,启动命令已接收,1
U2_STA_PauseAck,Bool,PLC_02,V1.1,R,是,暂停命令已接收,3
U2_STA_StopAck,Bool,PLC_02,V1.2,R,是,停止命令已接收,3
U2_STA_AlarmAckDone,Bool,PLC_02,V1.3,R,是,报警确认已执行,5
U2_STA_MuteDone,Bool,PLC_02,V1.4,R,是,消音已执行,5
U2_STA_ForceDone,Bool,PLC_02,V1.5,R,是,状态强制已执行,3
U2_STA_TankA_State,Bool,PLC_02,V1.6,R,是,"上缸状态(0=空,1=满)",1
U2_STA_TankB_State,Bool,PLC_02,V1.7,R,是,"下缸状态(0=空,1=满)",1
U2_VW2_StateMachine,Int,PLC_02,VW2,R,是,"状态机当前状态(0~8,99)",1
U2_VW4_PumpStatus,Int,PLC_02,VW4,R,否,注射泵状态码,2
U2_VW6_AlarmCode,Int,PLC_02,VW6,R,是,当前最高优先级报警码,5
U2_VW8_RoundCount,Int,PLC_02,VW8,R,是,实验轮次计数,1
U2_VD_C_Set,Float,PLC_02,VD10,RW,是,目标浓度设定值(%),4
U2_VD_C_Stock,Float,PLC_02,VD14,RW,是,母液浓度(%),4
U2_VD_StepResolution,Float,PLC_02,VD350,RW,是,注射泵单步分辨率(µL/步),4
U2_VD_CycleSetpoint,Float,PLC_02,VD354,RW,是,换水周期设定值(min),4
U2_VD_ExperimentTarget,Float,PLC_02,VD24,RW,是,实验时长目标(min),4
U2_VD_PreMixTime,Float,PLC_02,VD28,RW,是,S2预循环标称时长(s),4
U2_VD_PreMixTime_MinSafe,Float,PLC_02,VD32,RW,是,S2压缩下限(s),4
U2_VD_RestTime,Float,PLC_02,VD36,RW,是,S3.5静止等候标称时长(s),4
U2_VD_RestTime_Min,Float,PLC_02,VD40,RW,是,S3.5压缩下限(s),4
U2_VD_CycleExtend_Max,Float,PLC_02,VD44,RW,是,换水周期顺延上限(min),4
U2_VD_Timeout_ValveA,Float,PLC_02,VD358,RW,是,阀A动作超时(s),4
U2_VD_Timeout_ValveB,Float,PLC_02,VD362,RW,是,阀B动作超时(s),4
U2_VD_Timeout_ValveC,Float,PLC_02,VD54,RW,是,阀C动作超时(s),4
U2_VD_Timeout_Pump1,Float,PLC_02,VD58,RW,是,潜水泵1超时(s),4
U2_VD_Timeout_Pump2,Float,PLC_02,VD62,RW,是,潜水泵2超时(s),4
U2_VD_Delay_ValveA_Verify,Float,PLC_02,VD66,RW,是,阀A关闭延时验证(s),4
U2_VD_ExperimentDuration_Accum,Float,PLC_02,VD366,R,是,实验时长累加(min),1
U2_VD_Vol_Target,Float,PLC_02,VD370,R,是,本轮目标抽取体积(µL),2
U2_VD_Dose_Steps,Float,PLC_02,VD102,R,是,本轮加药目标步数,2
U2_VD_S1_Actual,Float,PLC_02,VD70,R,是,S1进水实测时长(s),2
U2_VD_S4_Actual,Float,PLC_02,VD74,R,是,S4转移实测时长(s),2
U2_VD_S6_Actual,Float,PLC_02,VD78,R,是,S6排水实测时长(s),2
U2_VD_FlowMeter_Snapshot,Float,PLC_02,VD82,R,是,流量计快照(差值基准),2
U2_VD_FlowMeter_Current,Float,PLC_02,VD86,R,是,流量计当前累计值,2
U2_VD_Current_InletVolume,Float,PLC_02,VD90,R,是,本次进水量(L),2
U2_VD_FlowRate_Instant,Float,PLC_02,VD94,R,是,瞬时流速(L/min),2
U2_VD_T_Default,Float,PLC_02,VD104,R,是,T初始默认值(s),6
U2_VD_S6_Default,Float,PLC_02,VD108,R,是,S6排水默认时长(s),6
U2_VD_T_Rolling,Float,PLC_02,VD112,R,是,T滚动实测值(s),6
U2_VD_S6_Rolling,Float,PLC_02,VD116,R,是,S6滚动实测值(s),6
U2_VD_S2_Target,Float,PLC_02,VD120,R,是,本轮S2实际目标(s),6
U2_VD_RestTime_Target,Float,PLC_02,VD124,R,是,本轮S3.5实际目标(s),6
U2_VD_CycleExtend_Target,Float,PLC_02,VD128,R,是,本轮允许空等时长(min),6
U2_VD_PumpSpeed_Start,Float,PLC_02,VD132,RW,是,注射泵启动速度(Hz),4
U2_VD_PumpSpeed_Max,Float,PLC_02,VD136,RW,是,注射泵最高速度(Hz),4
U2_VD_PumpSpeed_Cutoff,Float,PLC_02,VD140,RW,是,注射泵截止速度(Hz),4
U2_V300_0_Alarm_Overflow_AHigh,Bool,PLC_02,V300.0,R,是,上缸漫溢,5
U2_V300_1_Alarm_Overflow_BHigh,Bool,PLC_02,V300.1,R,是,下缸漫溢,5
U2_V300_2_Alarm_NCValve_Top,Bool,PLC_02,V300.2,R,是,NC球阀-上缸动作,5
U2_V300_3_Alarm_NCValve_Bottom,Bool,PLC_02,V300.3,R,是,NC球阀-下缸动作,5
U2_V300_4_EStop_Latch,Bool,PLC_02,V300.4,R,是,急停触发锁存,5
U2_V300_5_Alarm_SafetyRelay,Bool,PLC_02,V300.5,R,是,安全继电器故障(最高级),5
U2_V300_6_Alarm_ScheduleLag,Bool,PLC_02,V300.6,R,是,配液节奏严重滞后,5
U2_V300_7_Alarm_ScheduleLag_Warn,Bool,PLC_02,V300.7,R,是,配液节奏滞后提示,5
U2_V301_0_Alarm_ValveA_CloseFlow,Bool,PLC_02,V301.0,R,是,阀A关后仍有流,5
U2_V301_1_Alarm_ValveA_Leak,Bool,PLC_02,V301.1,R,是,阀A内漏,5
U2_V301_2_Alarm_ValveA_CloseTimeout,Bool,PLC_02,V301.2,R,是,阀A关超时,5
U2_V301_3_Alarm_ValveA_CloseLeak,Bool,PLC_02,V301.3,R,是,阀A关到位有流,5
U2_V301_4_Alarm_ValveA_OpenTimeout,Bool,PLC_02,V301.4,R,是,阀A开超时,5
U2_V301_5_Alarm_ValveA_OpenNoFlow,Bool,PLC_02,V301.5,R,是,阀A开到位无流,5
U2_V301_6_Alarm_ValveA_S1Start,Bool,PLC_02,V301.6,R,是,S5触发新一轮S1上缸非空,5
U2_V302_0_Alarm_ValveB_Diag,Bool,PLC_02,V302.0,R,是,阀B四态诊断异常,5
U2_V302_1_Alarm_ValveB_OpenTimeout,Bool,PLC_02,V302.1,R,是,阀B开超时,5
U2_V302_2_Alarm_ValveB_OpenNoFlow,Bool,PLC_02,V302.2,R,是,阀B开到位无流,5
U2_V302_3_Alarm_ValveB_CloseTimeout,Bool,PLC_02,V302.3,R,是,阀B关超时,5
U2_V302_4_Alarm_ValveB_CloseLeak,Bool,PLC_02,V302.4,R,是,阀B关到位有流,5
U2_V302_5_Alarm_ValveC_Diag,Bool,PLC_02,V302.5,R,是,阀C四态诊断异常,5
U2_V302_6_Alarm_ValveC_OpenTimeout,Bool,PLC_02,V302.6,R,是,阀C开超时,5
U2_V302_7_Alarm_ValveC_OpenNoFlow,Bool,PLC_02,V302.7,R,是,阀C开到位无流,5
U2_V303_0_Alarm_ValveC_CloseTimeout,Bool,PLC_02,V303.0,R,是,阀C关超时,5
U2_V303_1_Alarm_ValveC_CloseLeak,Bool,PLC_02,V303.1,R,是,阀C关到位有流,5
U2_V303_4_Alarm_SyringePump,Bool,PLC_02,V303.4,R,是,注射泵通讯/动作异常,5
U2_V303_5_Alarm_RTC_Lost,Bool,PLC_02,V303.5,R,是,RTC时钟丢失,5
U2_V303_6_Alarm_FlowSwitch_Instant,Bool,PLC_02,V303.6,R,是,流量开关瞬时异常,5
U2_CMD_Manual_ValveA_Open,Bool,PLC_02,V2.4,RW,是,手动开阀A,3
U2_CMD_Manual_ValveA_Close,Bool,PLC_02,V2.5,RW,是,手动关阀A,3
U2_CMD_Manual_ValveB_Open,Bool,PLC_02,V2.6,RW,是,手动开阀B,3
U2_CMD_Manual_ValveB_Close,Bool,PLC_02,V2.7,RW,是,手动关阀B,3
U2_CMD_Manual_ValveC_Open,Bool,PLC_02,V3.0,RW,是,手动开阀C,3
U2_CMD_Manual_ValveC_Close,Bool,PLC_02,V3.1,RW,是,手动关阀C,3
U2_CMD_Manual_Pump1_On,Bool,PLC_02,V3.2,RW,是,手动启动泵1,3
U2_CMD_Manual_Pump1_Off,Bool,PLC_02,V3.3,RW,是,手动停止泵1,3
U3_CMD_Start,Bool,PLC_03,V0.0,RW,是,启动实验(从S0进入S1),3
U3_CMD_Pause,Bool,PLC_03,V0.1,RW,是,暂停实验(预留),3
U3_CMD_Stop,Bool,PLC_03,V0.2,RW,是,停止实验(进入S7),3
U3_CMD_AckAlarm,Bool,PLC_03,V0.3,RW,是,报警确认,5
U3_CMD_Mute,Bool,PLC_03,V0.4,RW,是,消音命令,5
U3_CMD_ForceTankA_Empty,Bool,PLC_03,V0.5,RW,是,强制上缸状态=空,3
U3_CMD_ForceTankA_Full,Bool,PLC_03,V0.6,RW,是,强制上缸状态=满,3
U3_CMD_SafetyRelayAck,Bool,PLC_03,V0.7,RW,是,继电器故障HMI确认,5
U3_STA_StartAck,Bool,PLC_03,V1.0,R,是,启动命令已接收,1
U3_STA_PauseAck,Bool,PLC_03,V1.1,R,是,暂停命令已接收,3
U3_STA_StopAck,Bool,PLC_03,V1.2,R,是,停止命令已接收,3
U3_STA_AlarmAckDone,Bool,PLC_03,V1.3,R,是,报警确认已执行,5
U3_STA_MuteDone,Bool,PLC_03,V1.4,R,是,消音已执行,5
U3_STA_ForceDone,Bool,PLC_03,V1.5,R,是,状态强制已执行,3
U3_STA_TankA_State,Bool,PLC_03,V1.6,R,是,"上缸状态(0=空,1=满)",1
U3_STA_TankB_State,Bool,PLC_03,V1.7,R,是,"下缸状态(0=空,1=满)",1
U3_VW2_StateMachine,Int,PLC_03,VW2,R,是,"状态机当前状态(0~8,99)",1
U3_VW4_PumpStatus,Int,PLC_03,VW4,R,否,注射泵状态码,2
U3_VW6_AlarmCode,Int,PLC_03,VW6,R,是,当前最高优先级报警码,5
U3_VW8_RoundCount,Int,PLC_03,VW8,R,是,实验轮次计数,1
U3_VD_C_Set,Float,PLC_03,VD10,RW,是,目标浓度设定值(%),4
U3_VD_C_Stock,Float,PLC_03,VD14,RW,是,母液浓度(%),4
U3_VD_StepResolution,Float,PLC_03,VD350,RW,是,注射泵单步分辨率(µL/步),4
U3_VD_CycleSetpoint,Float,PLC_03,VD354,RW,是,换水周期设定值(min),4
U3_VD_ExperimentTarget,Float,PLC_03,VD24,RW,是,实验时长目标(min),4
U3_VD_PreMixTime,Float,PLC_03,VD28,RW,是,S2预循环标称时长(s),4
U3_VD_PreMixTime_MinSafe,Float,PLC_03,VD32,RW,是,S2压缩下限(s),4
U3_VD_RestTime,Float,PLC_03,VD36,RW,是,S3.5静止等候标称时长(s),4
U3_VD_RestTime_Min,Float,PLC_03,VD40,RW,是,S3.5压缩下限(s),4
U3_VD_CycleExtend_Max,Float,PLC_03,VD44,RW,是,换水周期顺延上限(min),4
U3_VD_Timeout_ValveA,Float,PLC_03,VD358,RW,是,阀A动作超时(s),4
U3_VD_Timeout_ValveB,Float,PLC_03,VD362,RW,是,阀B动作超时(s),4
U3_VD_Timeout_ValveC,Float,PLC_03,VD54,RW,是,阀C动作超时(s),4
U3_VD_Timeout_Pump1,Float,PLC_03,VD58,RW,是,潜水泵1超时(s),4
U3_VD_Timeout_Pump2,Float,PLC_03,VD62,RW,是,潜水泵2超时(s),4
U3_VD_Delay_ValveA_Verify,Float,PLC_03,VD66,RW,是,阀A关闭延时验证(s),4
U3_VD_ExperimentDuration_Accum,Float,PLC_03,VD366,R,是,实验时长累加(min),1
U3_VD_Vol_Target,Float,PLC_03,VD370,R,是,本轮目标抽取体积(µL),2
U3_VD_Dose_Steps,Float,PLC_03,VD102,R,是,本轮加药目标步数,2
U3_VD_S1_Actual,Float,PLC_03,VD70,R,是,S1进水实测时长(s),2
U3_VD_S4_Actual,Float,PLC_03,VD74,R,是,S4转移实测时长(s),2
U3_VD_S6_Actual,Float,PLC_03,VD78,R,是,S6排水实测时长(s),2
U3_VD_FlowMeter_Snapshot,Float,PLC_03,VD82,R,是,流量计快照(差值基准),2
U3_VD_FlowMeter_Current,Float,PLC_03,VD86,R,是,流量计当前累计值,2
U3_VD_Current_InletVolume,Float,PLC_03,VD90,R,是,本次进水量(L),2
U3_VD_FlowRate_Instant,Float,PLC_03,VD94,R,是,瞬时流速(L/min),2
U3_VD_T_Default,Float,PLC_03,VD104,R,是,T初始默认值(s),6
U3_VD_S6_Default,Float,PLC_03,VD108,R,是,S6排水默认时长(s),6
U3_VD_T_Rolling,Float,PLC_03,VD112,R,是,T滚动实测值(s),6
U3_VD_S6_Rolling,Float,PLC_03,VD116,R,是,S6滚动实测值(s),6
U3_VD_S2_Target,Float,PLC_03,VD120,R,是,本轮S2实际目标(s),6
U3_VD_RestTime_Target,Float,PLC_03,VD124,R,是,本轮S3.5实际目标(s),6
U3_VD_CycleExtend_Target,Float,PLC_03,VD128,R,是,本轮允许空等时长(min),6
U3_VD_PumpSpeed_Start,Float,PLC_03,VD132,RW,是,注射泵启动速度(Hz),4
U3_VD_PumpSpeed_Max,Float,PLC_03,VD136,RW,是,注射泵最高速度(Hz),4
U3_VD_PumpSpeed_Cutoff,Float,PLC_03,VD140,RW,是,注射泵截止速度(Hz),4
U3_V300_0_Alarm_Overflow_AHigh,Bool,PLC_03,V300.0,R,是,上缸漫溢,5
U3_V300_1_Alarm_Overflow_BHigh,Bool,PLC_03,V300.1,R,是,下缸漫溢,5
U3_V300_2_Alarm_NCValve_Top,Bool,PLC_03,V300.2,R,是,NC球阀-上缸动作,5
U3_V300_3_Alarm_NCValve_Bottom,Bool,PLC_03,V300.3,R,是,NC球阀-下缸动作,5
U3_V300_4_EStop_Latch,Bool,PLC_03,V300.4,R,是,急停触发锁存,5
U3_V300_5_Alarm_SafetyRelay,Bool,PLC_03,V300.5,R,是,安全继电器故障(最高级),5
U3_V300_6_Alarm_ScheduleLag,Bool,PLC_03,V300.6,R,是,配液节奏严重滞后,5
U3_V300_7_Alarm_ScheduleLag_Warn,Bool,PLC_03,V300.7,R,是,配液节奏滞后提示,5
U3_V301_0_Alarm_ValveA_CloseFlow,Bool,PLC_03,V301.0,R,是,阀A关后仍有流,5
U3_V301_1_Alarm_ValveA_Leak,Bool,PLC_03,V301.1,R,是,阀A内漏,5
U3_V301_2_Alarm_ValveA_CloseTimeout,Bool,PLC_03,V301.2,R,是,阀A关超时,5
U3_V301_3_Alarm_ValveA_CloseLeak,Bool,PLC_03,V301.3,R,是,阀A关到位有流,5
U3_V301_4_Alarm_ValveA_OpenTimeout,Bool,PLC_03,V301.4,R,是,阀A开超时,5
U3_V301_5_Alarm_ValveA_OpenNoFlow,Bool,PLC_03,V301.5,R,是,阀A开到位无流,5
U3_V301_6_Alarm_ValveA_S1Start,Bool,PLC_03,V301.6,R,是,S5触发新一轮S1上缸非空,5
U3_V302_0_Alarm_ValveB_Diag,Bool,PLC_03,V302.0,R,是,阀B四态诊断异常,5
U3_V302_1_Alarm_ValveB_OpenTimeout,Bool,PLC_03,V302.1,R,是,阀B开超时,5
U3_V302_2_Alarm_ValveB_OpenNoFlow,Bool,PLC_03,V302.2,R,是,阀B开到位无流,5
U3_V302_3_Alarm_ValveB_CloseTimeout,Bool,PLC_03,V302.3,R,是,阀B关超时,5
U3_V302_4_Alarm_ValveB_CloseLeak,Bool,PLC_03,V302.4,R,是,阀B关到位有流,5
U3_V302_5_Alarm_ValveC_Diag,Bool,PLC_03,V302.5,R,是,阀C四态诊断异常,5
U3_V302_6_Alarm_ValveC_OpenTimeout,Bool,PLC_03,V302.6,R,是,阀C开超时,5
U3_V302_7_Alarm_ValveC_OpenNoFlow,Bool,PLC_03,V302.7,R,是,阀C开到位无流,5
U3_V303_0_Alarm_ValveC_CloseTimeout,Bool,PLC_03,V303.0,R,是,阀C关超时,5
U3_V303_1_Alarm_ValveC_CloseLeak,Bool,PLC_03,V303.1,R,是,阀C关到位有流,5
U3_V303_4_Alarm_SyringePump,Bool,PLC_03,V303.4,R,是,注射泵通讯/动作异常,5
U3_V303_5_Alarm_RTC_Lost,Bool,PLC_03,V303.5,R,是,RTC时钟丢失,5
U3_V303_6_Alarm_FlowSwitch_Instant,Bool,PLC_03,V303.6,R,是,流量开关瞬时异常,5
U3_CMD_Manual_ValveA_Open,Bool,PLC_03,V2.4,RW,是,手动开阀A,3
U3_CMD_Manual_ValveA_Close,Bool,PLC_03,V2.5,RW,是,手动关阀A,3
U3_CMD_Manual_ValveB_Open,Bool,PLC_03,V2.6,RW,是,手动开阀B,3
U3_CMD_Manual_ValveB_Close,Bool,PLC_03,V2.7,RW,是,手动关阀B,3
U3_CMD_Manual_ValveC_Open,Bool,PLC_03,V3.0,RW,是,手动开阀C,3
U3_CMD_Manual_ValveC_Close,Bool,PLC_03,V3.1,RW,是,手动关阀C,3
U3_CMD_Manual_Pump1_On,Bool,PLC_03,V3.2,RW,是,手动启动泵1,3
U3_CMD_Manual_Pump1_Off,Bool,PLC_03,V3.3,RW,是,手动停止泵1,3
U4_CMD_Start,Bool,PLC_04,V0.0,RW,是,启动实验(从S0进入S1),3
U4_CMD_Pause,Bool,PLC_04,V0.1,RW,是,暂停实验(预留),3
U4_CMD_Stop,Bool,PLC_04,V0.2,RW,是,停止实验(进入S7),3
U4_CMD_AckAlarm,Bool,PLC_04,V0.3,RW,是,报警确认,5
U4_CMD_Mute,Bool,PLC_04,V0.4,RW,是,消音命令,5
U4_CMD_ForceTankA_Empty,Bool,PLC_04,V0.5,RW,是,强制上缸状态=空,3
U4_CMD_ForceTankA_Full,Bool,PLC_04,V0.6,RW,是,强制上缸状态=满,3
U4_CMD_SafetyRelayAck,Bool,PLC_04,V0.7,RW,是,继电器故障HMI确认,5
U4_STA_StartAck,Bool,PLC_04,V1.0,R,是,启动命令已接收,1
U4_STA_PauseAck,Bool,PLC_04,V1.1,R,是,暂停命令已接收,3
U4_STA_StopAck,Bool,PLC_04,V1.2,R,是,停止命令已接收,3
U4_STA_AlarmAckDone,Bool,PLC_04,V1.3,R,是,报警确认已执行,5
U4_STA_MuteDone,Bool,PLC_04,V1.4,R,是,消音已执行,5
U4_STA_ForceDone,Bool,PLC_04,V1.5,R,是,状态强制已执行,3
U4_STA_TankA_State,Bool,PLC_04,V1.6,R,是,"上缸状态(0=空,1=满)",1
